dataset,strategy,rep,round,n_assayed,best_so_far,novelty_median,baseline_novelty,low_novelty_streak,stop_reason,dms_pos_coverage,recovery_top_1pct,recovery_top_5pct
DMS,random,0,0,200,1.0466396808624268,,,0,,0.34285714285714286,0.022988505747126436,0.03935185185185185
DMS,random,0,1,248,1.0466396808624268,26.975032806396484,26.975032806396484,0,,0.41318681318681316,0.034482758620689655,0.04398148148148148
DMS,random,0,2,296,1.0466396808624268,27.54935073852539,26.975032806396484,0,,0.4835164835164835,0.034482758620689655,0.05092592592592592
DMS,random,0,3,344,1.0466396808624268,26.894630432128906,26.975032806396484,0,,0.5252747252747253,0.04597701149425287,0.0625
DMS,random,0,4,392,1.0466396808624268,28.26845932006836,26.975032806396484,0,,0.578021978021978,0.04597701149425287,0.06944444444444445
DMS,random,0,5,440,1.0466396808624268,25.341657638549805,26.975032806396484,0,,0.621978021978022,0.05747126436781609,0.07407407407407407
DMS,random,0,6,488,1.0466396808624268,25.654762268066406,26.975032806396484,0,,0.654945054945055,0.06896551724137931,0.08333333333333333
DMS,random,0,7,536,1.0466396808624268,24.564891815185547,26.975032806396484,0,,0.6879120879120879,0.06896551724137931,0.08564814814814815
DMS,random,0,8,584,1.0466396808624268,25.85010528564453,26.975032806396484,0,,0.7252747252747253,0.06896551724137931,0.08564814814814815
DMS,random,0,9,632,1.0466396808624268,23.639049530029297,26.975032806396484,0,,0.7582417582417582,0.08045977011494253,0.09259259259259259
DMS,random,0,10,680,1.0466396808624268,23.07607650756836,26.975032806396484,0,,0.778021978021978,0.09195402298850575,0.09953703703703703
DMS,random,0,11,728,1.0466396808624268,23.215362548828125,26.975032806396484,0,,0.7978021978021979,0.09195402298850575,0.10185185185185185
DMS,random,0,12,776,1.0466396808624268,25.235986709594727,26.975032806396484,0,,0.8153846153846154,0.09195402298850575,0.10185185185185185
DMS,random,0,13,824,1.0466396808624268,23.688817977905273,26.975032806396484,0,,0.8351648351648352,0.09195402298850575,0.1087962962962963
DMS,random,0,14,872,1.0466396808624268,23.927745819091797,26.975032806396484,0,,0.8505494505494505,0.09195402298850575,0.11342592592592593
DMS,random,0,15,920,1.0466396808624268,25.060752868652344,26.975032806396484,0,,0.8725274725274725,0.11494252873563218,0.12037037037037036
DMS,random,0,16,968,1.0466396808624268,24.62385368347168,26.975032806396484,0,,0.8945054945054945,0.11494252873563218,0.125
DMS,random,0,17,1016,1.0469521284103394,22.252628326416016,26.975032806396484,0,,0.9032967032967033,0.12643678160919541,0.13194444444444445
DMS,random,0,18,1064,1.0469521284103394,23.79253387451172,26.975032806396484,0,,0.9142857142857143,0.12643678160919541,0.1388888888888889
DMS,random,0,19,1112,1.0469521284103394,24.58500862121582,26.975032806396484,0,,0.9230769230769231,0.12643678160919541,0.14583333333333334
DMS,random,0,20,1160,1.0469521284103394,21.760286331176758,26.975032806396484,0,,0.9274725274725275,0.13793103448275862,0.1527777777777778
DMS,random,0,21,1208,1.0469521284103394,22.417583465576172,26.975032806396484,0,,0.9384615384615385,0.14942528735632185,0.16203703703703703
DMS,random,0,22,1256,1.0469521284103394,22.82672691345215,26.975032806396484,0,,0.945054945054945,0.14942528735632185,0.16435185185185186
DMS,random,0,23,1304,1.0469521284103394,21.28734588623047,26.975032806396484,0,dms_pos_coverage_reached,0.9538461538461539,0.16091954022988506,0.1712962962962963
DMS,greedy,0,0,200,1.0466396808624268,,,0,,0.34285714285714286,0.022988505747126436,0.03935185185185185
DMS,greedy,0,1,248,1.0469521284103394,19.90666961669922,19.90666961669922,0,,0.3868131868131868,0.04597701149425287,0.06481481481481481
DMS,greedy,0,2,296,1.0469521284103394,17.564178466796875,19.90666961669922,0,,0.42417582417582417,0.05747126436781609,0.08333333333333333
DMS,greedy,0,3,344,1.053834319114685,16.714685440063477,19.90666961669922,0,,0.46593406593406594,0.08045977011494253,0.10648148148148148
DMS,greedy,0,4,392,1.053834319114685,17.30197525024414,19.90666961669922,0,,0.4989010989010989,0.10344827586206896,0.13194444444444445
DMS,greedy,0,5,440,1.053834319114685,16.389604568481445,19.90666961669922,0,,0.5252747252747253,0.11494252873563218,0.14814814814814814
DMS,greedy,0,6,488,1.053834319114685,17.72298812866211,19.90666961669922,0,,0.5472527472527473,0.13793103448275862,0.18055555555555555
DMS,greedy,0,7,536,1.053834319114685,17.58477783203125,19.90666961669922,0,,0.567032967032967,0.14942528735632185,0.19907407407407407
DMS,greedy,0,8,584,1.053834319114685,17.627986907958984,19.90666961669922,0,,0.5846153846153846,0.1724137931034483,0.22685185185185186
DMS,greedy,0,9,632,1.053834319114685,21.699562072753906,19.90666961669922,0,,0.5934065934065934,0.1724137931034483,0.24537037037037038
DMS,greedy,0,10,680,1.053834319114685,18.415569305419922,19.90666961669922,0,,0.6065934065934065,0.1839080459770115,0.2662037037037037
DMS,greedy,0,11,728,1.053834319114685,21.119483947753906,19.90666961669922,0,,0.6087912087912087,0.19540229885057472,0.28935185185185186
DMS,greedy,0,12,776,1.053834319114685,20.17578887939453,19.90666961669922,0,,0.621978021978022,0.19540229885057472,0.30787037037037035
DMS,greedy,0,13,824,1.053834319114685,21.292850494384766,19.90666961669922,0,,0.6417582417582418,0.25287356321839083,0.3425925925925926
DMS,greedy,0,14,872,1.053834319114685,21.33639907836914,19.90666961669922,0,,0.6571428571428571,0.26436781609195403,0.35648148148148145
DMS,greedy,0,15,920,1.053834319114685,21.130573272705078,19.90666961669922,0,,0.6747252747252748,0.27586206896551724,0.3726851851851852
