target,n,spearman,r2,rmse,log10,k,pca_dim,alpha
S,183,0.6419008097216844,0.29617140988960133,0.1438937264056109,True,5,16,10.0
KC,197,0.5977531523751638,0.41428162103809074,0.24164713067872565,True,5,16,10.0
vC,181,0.3388948672319745,-1.1566356872441008,0.2731595302061712,True,5,16,10.0
vO,38,0.2674183231871664,-1.015973664976186,0.3881382689009298,True,5,16,10.0
KO,169,0.19710945581142514,-0.19703391379794932,0.33952324302646075,True,5,16,10.0
KRuBP,34,-0.01377305270639414,-0.8625444704703982,0.2528147524082672,True,5,16,10.0
