target,n,spearman,r2,rmse,cv,log10,wt_only,native_only,temp_C,ph_min,ph_max,aggregate
S,183,0.753348661392112,0.38095309962575385,0.13494915955977324,kfold,True,True,False,,,,median
KC,197,0.6050592540220584,0.42449983641814415,0.23953001545967473,kfold,True,True,False,,,,median
vC,181,0.3748522340519106,-2.210942634632304,0.3333068481007685,kfold,True,True,False,,,,median
KO,169,0.13296602753307957,-0.27440206438504844,0.3503236977112862,kfold,True,True,False,,,,median
