outer_fold,pca_dim,alpha,inner_spearman
0,0,1.0,0.48076071754488203
1,0,10.0,0.4581103747098406
2,64,0.1,0.4536751035528056
3,64,10.0,0.4657139797539842
4,64,0.1,0.519355792287396
