outer_fold,pca_dim,alpha,inner_spearman
0,64,10.0,0.12286854650043584
1,32,100.0,0.2990788344239248
2,32,100.0,0.3470944674605777
3,8,10.0,0.12245181667305871
4,0,100.0,0.1594690369020354
