outer_fold,pca_dim,alpha,inner_spearman
0,16,100.0,0.561478943546592
1,16,10.0,0.4468736534207343
2,16,100.0,0.5123414111100434
3,64,100.0,0.6020810151964227
4,16,1.0,0.5799252887332677
