embedding,target,split,split_id,model,model_seed,n_train,n_test,spearman,top5_precision,top5_enrich_diff
prott5,dms_VmaxRatio_logfit,pos_holdout,pos_holdout_fold5,xgb,4,6903,1725,0.6961883473122306,0.14942528735632185,0.3497088551521301
prott5,hoff_delta_O2_minus_N2,depth_holdout,depth_holdout,xgb,0,4924,5358,0.38440593260295297,0.11940298507462686,0.7782334685325623
prott5,hoff_delta_O2_minus_N2,depth_holdout,depth_holdout,xgb,1,4924,5358,0.3854802299461634,0.13432835820895522,0.7728928923606873
prott5,hoff_delta_O2_minus_N2,depth_holdout,depth_holdout,xgb,2,4924,5358,0.3999665352955393,0.12686567164179105,0.7600534558296204
prott5,hoff_delta_O2_minus_N2,depth_holdout,depth_holdout,xgb,3,4924,5358,0.39609120299996303,0.13805970149253732,0.7974902987480164
prott5,hoff_delta_O2_minus_N2,depth_holdout,depth_holdout,xgb,4,4924,5358,0.3940720788217759,0.1417910447761194,0.7686523795127869
prott5,hoff_delta_O2_minus_N2,depth_holdout,depth_holdout,tabpfn,0,4924,5358,0.5377217151141513,0.1417910447761194,0.8654237389564514
prott5,dms_KmCO2_logfit,within_position,within_seed0,tabpfn,0,6902,1726,0.5785365800152472,0.3218390804597701,0.16222120821475983
prott5,dms_KmCO2_logfit,within_position,within_seed1,tabpfn,0,6902,1726,0.583479172792219,0.2988505747126437,0.1775326132774353
prott5,dms_KmCO2_logfit,within_position,within_seed2,tabpfn,0,6902,1726,0.5926229319725247,0.27586206896551724,0.13697659969329834
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold1,tabpfn,0,6903,1725,0.37165029754907697,0.25287356321839083,0.1417272537946701
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold2,tabpfn,0,6902,1726,0.31398566181036247,0.16091954022988506,0.07403993606567383
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold3,tabpfn,0,6902,1726,0.3198212456565892,0.10344827586206896,0.05017957091331482
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold4,tabpfn,0,6902,1726,0.35855260429911145,0.1724137931034483,0.07546254992485046
prott5,dms_KmCO2_logfit,pos_holdout,pos_holdout_fold5,tabpfn,0,6903,1725,0.28597822843208687,0.16091954022988506,0.06668829917907715
prott5,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,0,6902,1726,0.8747747980604897,0.27586206896551724,0.42101556062698364
prott5,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,0,6902,1726,0.8795675799766918,0.3333333333333333,0.41447681188583374
prott5,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,0,6902,1726,0.8775567042461845,0.39080459770114945,0.44646555185317993
prott5,dms_VmaxRatio_logfit,pos_holdout,pos_holdout_fold1,tabpfn,0,6903,1725,0.707920413974697,0.26436781609195403,0.4022557735443115
prott5,dms_VmaxRatio_logfit,pos_holdout,pos_holdout_fold2,tabpfn,0,6902,1726,0.7012961466483649,0.1724137931034483,0.3471078872680664
prott5,dms_VmaxRatio_logfit,pos_holdout,pos_holdout_fold3,tabpfn,0,6902,1726,0.7104804392506099,0.20689655172413793,0.3807205557823181
prott5,dms_VmaxRatio_logfit,pos_holdout,pos_holdout_fold4,tabpfn,0,6902,1726,0.6850449194837351,0.19540229885057472,0.32192665338516235
prott5,dms_VmaxRatio_logfit,pos_holdout,pos_holdout_fold5,tabpfn,0,6903,1725,0.6943585813027568,0.19540229885057472,0.37420719861984253
