model,target,split,seed_or_fold,spearman,top5_precision,best_C,best_gamma,n_train,n_test,best_alpha
mlp,dms_VmaxRatio_logfit,pos_holdout,5,0.5355860224976999,0.1494252873563218,,,6903,1725,0.01
svr,dms_KmCO2_logfit,within_position,0,0.36669572702975217,0.3448275862068966,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,within_position,0,0.3869183464280973,0.3103448275862069,,,6902,1726,0.01
svr,dms_KmCO2_logfit,within_position,1,0.3867093685291525,0.3218390804597701,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,within_position,1,0.34572099023364683,0.26436781609195403,,,6902,1726,0.01
svr,dms_KmCO2_logfit,within_position,2,0.3918623558066063,0.26436781609195403,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,within_position,2,0.3480333322304495,0.1724137931034483,,,6902,1726,0.01
svr,dms_KmCO2_logfit,pos_holdout,1,0.253670357369836,0.12643678160919541,0.1,scale,6903,1725,
mlp,dms_KmCO2_logfit,pos_holdout,1,0.19324297751971703,0.14942528735632185,,,6903,1725,0.01
svr,dms_KmCO2_logfit,pos_holdout,2,0.24563327704364832,0.1724137931034483,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,pos_holdout,2,0.15664690999559705,0.1724137931034483,,,6902,1726,0.01
svr,dms_KmCO2_logfit,pos_holdout,3,0.17895444946345487,0.12643678160919541,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,pos_holdout,3,0.055591566938375477,0.08045977011494253,,,6902,1726,0.01
svr,dms_KmCO2_logfit,pos_holdout,4,0.23243836886267816,0.21839080459770116,0.1,scale,6902,1726,
mlp,dms_KmCO2_logfit,pos_holdout,4,0.1278475687736563,0.12643678160919541,,,6902,1726,0.01
svr,dms_KmCO2_logfit,pos_holdout,5,0.13524190001097616,0.12643678160919541,0.1,scale,6903,1725,
mlp,dms_KmCO2_logfit,pos_holdout,5,0.09515161978739951,0.11494252873563218,,,6903,1725,0.01
svr,dms_VmaxRatio_logfit,within_position,0,0.8236480440782733,0.25287356321839083,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,within_position,0,0.7637335856555054,0.20689655172413793,,,6902,1726,0.01
svr,dms_VmaxRatio_logfit,within_position,1,0.8250245758633588,0.2413793103448276,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,within_position,1,0.6677564416601603,0.11494252873563218,,,6902,1726,0.0001
svr,dms_VmaxRatio_logfit,within_position,2,0.8364304745180485,0.2988505747126437,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,within_position,2,0.816032555930454,0.20689655172413793,,,6902,1726,0.01
svr,dms_VmaxRatio_logfit,pos_holdout,1,0.6242880967078707,0.19540229885057472,1.0,scale,6903,1725,
mlp,dms_VmaxRatio_logfit,pos_holdout,1,0.39311933871027893,0.04597701149425287,,,6903,1725,0.0001
svr,dms_VmaxRatio_logfit,pos_holdout,2,0.6179617023408027,0.10344827586206896,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,pos_holdout,2,0.6045860992823554,0.14942528735632185,,,6902,1726,0.01
svr,dms_VmaxRatio_logfit,pos_holdout,3,0.6373821005219401,0.14942528735632185,100.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,pos_holdout,3,0.5003204197481373,0.10344827586206896,,,6902,1726,0.001
svr,dms_VmaxRatio_logfit,pos_holdout,4,0.6158043558921974,0.1839080459770115,1.0,scale,6902,1726,
mlp,dms_VmaxRatio_logfit,pos_holdout,4,0.45691747097068103,0.1839080459770115,,,6902,1726,0.001
svr,dms_VmaxRatio_logfit,pos_holdout,5,0.6334755969051257,0.14942528735632185,1.0,scale,6903,1725,
mlp,dms_VmaxRatio_logfit,pos_holdout,5,0.5355860224976999,0.14942528735632185,,,6903,1725,0.01
