dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,model_seed,n_train,n_test,spearman,r2,mse,top5_precision,top5_mean_true,mean_true,top5_enrich_diff,top5_enrich_ratio
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,64,,0,6902,1726,0.8054687552282035,0.6443456411361694,0.051192037761211395,0.25287356321839083,0.9392949342727661,0.522843599319458,0.4164513349533081,1.7965122562375597
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,64,,1,6902,1726,0.8019199746738718,0.6407828330993652,0.05170486494898796,0.27586206896551724,0.9409780502319336,0.522843599319458,0.4181344509124756,1.7997314138620544
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,64,,2,6902,1726,0.8063919453483529,0.6481938362121582,0.05063813924789429,0.2413793103448276,0.9417685270309448,0.522843599319458,0.4189249277114868,1.8012432938966194
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,64,,3,6902,1726,0.8056469086245043,0.6454235911369324,0.051036883145570755,0.21839080459770116,0.9329906702041626,0.522843599319458,0.4101470708847046,1.7844546082586816
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,64,,4,6902,1726,0.8033856695059862,0.6398353576660156,0.051841240376234055,0.21839080459770116,0.93479323387146,0.522843599319458,0.41194963455200195,1.7879022237017006
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,64,0.0,0,6902,1726,0.8548231317845216,0.7416199445724487,0.03719061613082886,0.367816091954023,0.9575504064559937,0.522843599319458,0.43470680713653564,1.8314279981668653
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,64,5000.0,0,6902,1726,0.833761534209804,0.7113397717475891,0.041549064218997955,0.2988505747126437,0.938732385635376,0.522843599319458,0.41588878631591797,1.7954363156730728
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,64,5000.0,1,6902,1726,0.841725345315864,0.7205408811569214,0.04022467881441116,0.3218390804597701,0.9551238417625427,0.522843599319458,0.4322802424430847,1.8267869072237815
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,64,5000.0,2,6902,1726,0.8379795481361991,0.7150951623916626,0.04100852459669113,0.3103448275862069,0.9498931765556335,0.522843599319458,0.42704957723617554,1.8167826435898429
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,64,5000.0,3,6902,1726,0.8376543505668144,0.713225245475769,0.041277676820755005,0.3563218390804598,0.9554354548454285,0.522843599319458,0.43259185552597046,1.8273829039679157
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,64,5000.0,4,6902,1726,0.838258259237673,0.7142419815063477,0.04113132506608963,0.3218390804597701,0.9529337286949158,0.522843599319458,0.43009012937545776,1.8225980578805407
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,128,,0,6902,1726,0.8332195452621549,0.6855108737945557,0.04526681452989578,0.26436781609195403,0.9349440932273865,0.522843599319458,0.41210049390792847,1.7881907599984497
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,128,,1,6902,1726,0.8300279373310183,0.6868652701377869,0.04507186636328697,0.2413793103448276,0.9390615820884705,0.522843599319458,0.41621798276901245,1.7960659426849037
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,128,,2,6902,1726,0.8351016766045135,0.6929420232772827,0.044197194278240204,0.2988505747126437,0.9365416169166565,0.522843599319458,0.4136980175971985,1.79124621231985
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,128,,3,6902,1726,0.8330292235620393,0.6858748197555542,0.04521443694829941,0.2413793103448276,0.9296824932098389,0.522843599319458,0.40683889389038086,1.778127329893546
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,128,,4,6902,1726,0.835236844195681,0.6900789737701416,0.04460928961634636,0.2413793103448276,0.9362689256668091,0.522843599319458,0.4134253263473511,1.790724658168279
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,128,0.0,0,6902,1726,0.8804358593542218,0.7901018857955933,0.030212238430976868,0.41379310344827586,0.9614449739456177,0.522843599319458,0.43860137462615967,1.838876817459467
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,128,5000.0,0,6902,1726,0.8626423381883541,0.7626626491546631,0.0341617725789547,0.367816091954023,0.9537638425827026,0.522843599319458,0.43092024326324463,1.8241857485185582
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,128,5000.0,1,6902,1726,0.8664193176140546,0.7631522417068481,0.03409130126237869,0.3448275862068966,0.9497751593589783,0.522843599319458,0.42693156003952026,1.8165569217930975
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,128,5000.0,2,6902,1726,0.8625191428638859,0.7631657719612122,0.0340893529355526,0.3793103448275862,0.9572822451591492,0.522843599319458,0.43443864583969116,1.8309151080842603
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,128,5000.0,3,6902,1726,0.8596486017200566,0.7557624578475952,0.03515496850013733,0.3563218390804598,0.9494497179985046,0.522843599319458,0.42660611867904663,1.8159344768384356
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,128,5000.0,4,6902,1726,0.8670489561563285,0.7651785612106323,0.03379964083433151,0.40229885057471265,0.9611594676971436,0.522843599319458,0.43831586837768555,1.8383307531127948
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,xgb,64,,0,6902,1726,0.8003941594592153,0.6305772662162781,0.052908096462488174,0.1839080459770115,0.9311069846153259,0.5299204587936401,0.4011865258216858,1.7570693283572856
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,xgb,64,,1,6902,1726,0.8027107953993008,0.6325477957725525,0.052625883370637894,0.13793103448275862,0.9213966131210327,0.5299204587936401,0.3914761543273926,1.7387451226521524
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,xgb,64,,2,6902,1726,0.7998668784294597,0.6295405030250549,0.05305658280849457,0.16091954022988506,0.9255574345588684,0.5299204587936401,0.39563697576522827,1.746596907516824
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,xgb,64,,3,6902,1726,0.8027074114252825,0.6350855231285095,0.052262432873249054,0.1724137931034483,0.9203318357467651,0.5299204587936401,0.390411376953125,1.7367358071849
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,xgb,64,,4,6902,1726,0.798554558835829,0.6306203007698059,0.05290193483233452,0.16091954022988506,0.9252730011940002,0.5299204587936401,0.3953525424003601,1.7460601602368346
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,tabpfn,64,0.0,0,6902,1726,0.8602746952578244,0.7422435879707336,0.03691543638706207,0.3448275862068966,0.9542862176895142,0.5299204587936401,0.424365758895874,1.8008102949298077
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,tabpfn,64,5000.0,0,6902,1726,0.8414304448157593,0.7113131284713745,0.041345249861478806,0.27586206896551724,0.9500899314880371,0.5299204587936401,0.420169472694397,1.7928915853728493
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,tabpfn,64,5000.0,1,6902,1726,0.8441535970637375,0.7079522609710693,0.04182658717036247,0.3563218390804598,0.9609789848327637,0.5299204587936401,0.43105852603912354,1.8134400529098744
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,tabpfn,64,5000.0,2,6902,1726,0.8416748734357252,0.7094683647155762,0.041609443724155426,0.3448275862068966,0.9447723031044006,0.5299204587936401,0.4148518443107605,1.7828568182764024
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,tabpfn,64,5000.0,3,6902,1726,0.8482237733334855,0.7215579152107239,0.039878007024526596,0.3218390804597701,0.9527221322059631,0.5299204587936401,0.422801673412323,1.797858747282239
