dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,spearman,r2,top5_precision,top5_enrich_diff,n_runs,n_train,n_test
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed0,xgb,64,,0.39901459820136537,0.17796721458435055,0.3402298850574713,0.15959897339344023,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed0,xgb,128,,0.45269976043506005,0.2190491676330566,0.38850574712643676,0.1749399572610855,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed1,tabpfn,64,0.0,0.485059238361383,0.2051210403442382,0.2528735632183908,0.1411849558353424,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed1,tabpfn,64,5000.0,0.45308663921583053,0.17971452474594113,0.2298850574712643,0.12816501855850215,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed1,tabpfn,128,0.0,0.5487070699057017,0.2651723623275757,0.2873563218390804,0.164294958114624,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed1,tabpfn,128,5000.0,0.5191331302346021,0.23193550109863276,0.28965517241379307,0.16113675832748411,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed1,xgb,64,,0.39617136694083055,0.1808323979377746,0.27126436781609187,0.15050756931304932,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed1,xgb,128,,0.4817288058693693,0.2525832891464233,0.33793103448275863,0.1919859111309051,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed2,tabpfn,64,0.0,0.5093448950111851,0.1702684760093689,0.1839080459770115,0.0803276896476745,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed2,tabpfn,64,5000.0,0.47471517582922046,0.15334395170211787,0.20919540229885056,0.08814155459403986,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed2,tabpfn,128,0.0,0.5597705887324226,0.2008702158927917,0.2068965517241379,0.1000352799892425,1,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed2,tabpfn,128,5000.0,0.5279870239765938,0.17881270647048947,0.2114942528735632,0.10189418196678157,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed2,xgb,64,,0.41378662810675576,0.13202732801437375,0.20919540229885056,0.0980937302112579,5,6902,1726
DMS,DMS,dms_KmCO2_logfit,within_position,within_seed2,xgb,128,,0.4829390776421062,0.17553986310958858,0.2298850574712643,0.10861989259719847,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,tabpfn,64,0.0,0.6426343818349621,0.3976566791534424,0.2183908045977011,0.3492549657821655,1,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,tabpfn,64,5000.0,0.6345794516581631,0.3886557102203369,0.2206896551724138,0.3341843962669372,5,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,tabpfn,128,0.0,0.6626797054786139,0.4249869585037231,0.1954022988505747,0.3557326793670654,1,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,tabpfn,128,5000.0,0.6598076823387282,0.4225696802139282,0.20919540229885056,0.35138349533081054,5,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,xgb,64,,0.6141828115497061,0.3639910459518433,0.18160919540229883,0.327882182598114,5,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,xgb,128,,0.6390226358241249,0.3854543924331665,0.15402298850574708,0.33309389352798463,5,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold2,tabpfn,64,0.0,0.6463193859440748,0.4130318164825439,0.1494252873563218,0.3621096014976501,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold2,tabpfn,64,5000.0,0.6407929106945557,0.40708332061767577,0.15632183908045974,0.35715833902359007,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold2,tabpfn,128,0.0,0.6295622359935055,0.3902716040611267,0.2183908045977011,0.3685681819915771,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold2,tabpfn,128,5000.0,0.6170855172534104,0.37395588159561155,0.18850574712643675,0.3499785780906677,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold2,xgb,64,,0.631799644466854,0.38682296276092526,0.1747126436781609,0.35253672599792474,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold2,xgb,128,,0.608470899121605,0.35494849681854246,0.1954022988505747,0.3310041785240173,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold3,tabpfn,64,0.0,0.6609146945950322,0.4288437962532043,0.1724137931034483,0.2934669256210327,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold3,tabpfn,64,5000.0,0.6540835503374015,0.419214928150177,0.18160919540229883,0.3059219002723693,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold3,tabpfn,128,0.0,0.6646777063762502,0.4285099506378174,0.1954022988505747,0.3109410405158996,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold3,tabpfn,128,5000.0,0.6576421257453282,0.41844003200531005,0.19080459770114938,0.32244861125946045,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold3,xgb,64,,0.6364009614374032,0.38701978921890257,0.2,0.3419949054718017,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold3,xgb,128,,0.640167787775818,0.3867851972579956,0.2022988505747126,0.3210445880889892,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold4,tabpfn,64,0.0,0.6148840199790994,0.3431589603424072,0.1954022988505747,0.3053441643714905,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold4,tabpfn,64,5000.0,0.6113553523660674,0.3415436029434204,0.19310344827586207,0.3028541445732117,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold4,tabpfn,128,0.0,0.6537938120709446,0.4096335768699646,0.2758620689655172,0.3458157777786255,1,6902,1726
